Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C7,CAP-TH_L4.8-W3.2-P5.08-D0.5,37.59mm,-51.31mm,37.59mm,-51.31mm,40.13mm,-51.31mm,T,180,100pF
C8,CAP-TH_BD13.0-P5.00-D0.6-FD,37.72mm,-42.04mm,37.72mm,-42.04mm,37.72mm,-39.54mm,T,270,470uF
C9,CAP-TH_BD10.0-P5.00-D1.0-FD,6.35mm,-47.24mm,6.35mm,-47.24mm,3.81mm,-47.24mm,T,0,1000uF
C10,CAP-TH_L4.9-W3.7-P5.08-D0.5,6.35mm,-39.24mm,6.35mm,-39.24mm,8.89mm,-39.24mm,T,180,100nF
D3,DO-201AD_BD5.3-L8.4-P12.50-D1.4-RD,14.73mm,-43.69mm,14.73mm,-43.69mm,14.73mm,-36.89mm,T,270,1N5822_C82806
H2,HDR-F-2.54_1X8,,,,,,,T,90,HDR-F-2.54_1x8
P2,JST-XH 2.5MM 4P,7.11mm,-28.07mm,7.11mm,-28.07mm,7.11mm,-31.82mm,T,90,JST-XH 2.5mm 4p
U6,TO-220-5L_L10.2-W4.5-P1.71-L,25.4mm,-50.8mm,25.4mm,-50.8mm,21.98mm,-50.8mm,T,0,LM2596T-5.0
U7,11PHC-RM5-12D,24.26mm,-41.53mm,24.26mm,-41.53mm,21.76mm,-41.53mm,T,0,L-11PHC 100µ
U8,ESP8266 D1 MINI,24.89mm,-18.03mm,36.32mm,-9.14mm,36.32mm,-9.14mm,T,270,ESP8266 D1 Mini
